varname,pct_miss,Person
iid,0.013,Alex
id,0.013,Alex
gender,0.009,Alex
idg,0.013,Alex
condtn,0.016,Alex
order,0.109,Alex
partner,0.109,Alex
samerace,0.109,Alex
age_o,0,Alex
pf_o_att,0.109,Alex
pf_o_fun,0.109,Alex
pf_o_amb,0.109,Alex
dec_o,0.009,Alex
attr_o,0.034,Alex
fun_o,0.009,Alex
amb_o,0,Alex
shar_o,0.109,Alex
met_o,0.113,Alex
age,0,Alex
field,0.009,Alex
field_cd,0.009,Alex
imprace,0.013,Alex
imprelig,0.013,Alex
from,0.009,Alex
goal,0.011,Alex
date,0.009,Alex
go_out,0.009,Alex
career,0.009,Alex
career_c,0.012,Anna
exercise,0.009,Anna
dining,0.009,Anna
art,0,Anna
hiking,0.011,Anna
gaming,0.009,Anna
clubbing,0.009,Anna
concerts,0,Anna
exphappy,0.009,Anna
expnum,0.009,Anna
attr1_1,0.037,Anna
fun1_1,0.009,Anna
amb1_1,0,Anna
shar1_1,0.109,Anna
attr4_1,0,Anna
intel4_1,0.14,Anna
fun4_1,0.014,Anna
amb4_1,0.012,Anna
attr2_1,0.03,Anna
intel2_1,0.035,Anna
fun2_1,0.012,Anna
attr3_1,0.011,Anna
fun3_1,0.009,Anna
intel3_1,0.127,Anna
amb3_1,0.001,Anna
attr5_1,0.009,Anna
amb5_1,0.011,Anna
dec,0.009,Annie
attr,0.025,Annie
fun,0.009,Annie
amb,0,Annie
shar,0.109,Annie
met,0.109,Annie
match_es,0.109,Annie
attr1_s,0.128,Annie
intel1_s,0.033,Annie
fun1_s,0.009,Annie
amb1_s,0,Annie
attr3_s,0,Annie
intel3_s,0.045,Annie
fun3_s,0.012,Annie
amb3_s,0,Annie
satis_2,0.109,Annie
attr7_2,0,Annie
amb7_2,0.013,Annie
attr1_2,0.043,Annie
intel1_2,0,Annie
fun1_2,0.009,Annie
amb1_2,0,Annie
attr4_2,0,Annie
amb4_2,0.009,Annie
attr2_2,0.038,Annie
intel2_2,0.042,Annie
amb2_2,0,Annie
attr3_2,0,Liz
intel3_2,0.029,Liz
fun3_2,0.009,Liz
amb3_2,0,Liz
attr5_2,0.009,Liz
amb5_2,0.011,Liz
date_3,0.009,Liz
numdat_3,0.111,Liz
attr1_3,0.086,Liz
intel1_3,0.024,Liz
fun1_3,0.009,Liz
amb1_3,0,Liz
attr7_3,0,Liz
fun7_3,0.009,Liz
amb7_3,0.015,Liz
attr4_3,0.008,Liz
amb4_3,0.011,Liz
attr2_3,0.046,Liz
intel2_3,0.085,Liz
fun2_3,0.009,Liz
amb2_3,0,Liz
attr3_3,0.01,Liz
intel3_3,0.037,Liz
fun3_3,0.011,Liz
amb3_3,0.019,Liz
attr5_3,0,Liz
amb5_3,0.012,Liz
